t,BodyA_x,BodyA_y,BodyB_x,BodyB_y
0.7200000000,1.1383551975,0.3863456193,0.4950304400,0.5358087660
0.7400000000,1.1294545647,0.3961148055,0.4812299521,0.5395363666
0.7600000000,1.1203325626,0.4058063545,0.4673351446,0.5431582198
0.7800000000,1.1109909788,0.4154183668,0.4533487409,0.5466736157
0.8000000000,1.1014316443,0.4249489583,0.4392734823,0.5500818653
0.8200000000,1.0916564328,0.4343962613,0.4251121276,0.5533823006
0.8400000000,1.0816672601,0.4437584240,0.4108674522,0.5565742748
0.8600000000,1.0714660841,0.4530336114,0.3965422481,0.5596571621
0.8800000000,1.0610549041,0.4622200057,0.3821393230,0.5626303585
0.9000000000,1.0504357608,0.4713158064,0.3676614998,0.5654932812
0.9200000000,1.0396107355,0.4803192306,0.3531116162,0.5682453689
0.9400000000,1.0285819497,0.4892285139,0.3384925238,0.5708860824
0.9600000000,1.0173515652,0.4980419099,0.3238070879,0.5734149040
0.9800000000,1.0059217831,0.5067576913,0.3090581869,0.5758313382
1.0000000000,0.9942948435,0.5153741498,0.2942487115,0.5781349113
1.0200000000,0.9824730253,0.5238895966,0.2793815643,0.5803251717
1.0400000000,0.9704586455,0.5323023628,0.2644596591,0.5824016903
1.0600000000,0.9582540589,0.5406107993,0.2494859208,0.5843640600
1.0800000000,0.9458616576,0.5488132779,0.2344632840,0.5862118963
1.1000000000,0.9332838705,0.5569081909,0.2193946931,0.5879448368
1.1200000000,0.9205231627,0.5648939516,0.2042831016,0.5895625421
1.1400000000,0.9075820353,0.5727689950,0.1891314712,0.5910646950
1.1600000000,0.8944630247,0.5805317774,0.1739427717,0.5924510011
1.1800000000,0.8811687023,0.5881807775,0.1587199800,0.5937211888
1.2000000000,0.8677016736,0.5957144960,0.1434660796,0.5948750089
1.2200000000,0.8540645781,0.6031314564,0.1281840604,0.5959122355
1.2400000000,0.8402600888,0.6104302049,0.1128769175,0.5968326652
1.2600000000,0.8262909111,0.6176093111,0.0975476510,0.5976361175
1.2800000000,0.8121597831,0.6246673678,0.0821992656,0.5983224352
1.3000000000,0.7978694743,0.6316029918,0.0668347693,0.5988914835
1.3200000000,0.7834227857,0.6384148235,0.0514571737,0.5993431510
1.3400000000,0.7688225488,0.6451015280,0.0360694926,0.5996773492
1.3600000000,0.7540716250,0.6516617947,0.0206747420,0.5998940126
1.3800000000,0.7391729057,0.6580943377,0.0052759392,0.5999930986
1.4000000000,0.7241293108,0.6643978964,-0.0101238976,0.5999745879
1.4200000000,0.7089437889,0.6705712352,-0.0255217502,0.5998384841
1.4400000000,0.6936193163,0.6766131442,-0.0409146006,0.5995848139
1.4600000000,0.6781588965,0.6825224392,-0.0562994319,0.5992136270
1.4800000000,0.6625655597,0.6882979619,-0.0716732286,0.5987249961
1.5000000000,0.6468423623,0.6939385805,-0.0870329777,0.5981190171
1.5200000000,0.6309923857,0.6994431893,-0.1023756685,0.5973958086
1.5400000000,0.6150187367,0.7048107095,-0.1176982941,0.5965555125
1.5600000000,0.5989245460,0.7100400891,-0.1329978512,0.5955982934
1.5800000000,0.5827129680,0.7151303030,-0.1482713411,0.5945243389
1.6000000000,0.5663871802,0.7200803537,-0.1635157703,0.5933338596
